title,firm,genre,num_of_reviews,price,stars,description_lenght,PEGI
Among Us,Innersloth LLC,Akcja,12226192,Zainstaluj,3.6,731,7
Call of Duty®: Mobile - Season 5: In Deep Water,"Activision Publishing, Inc.",Akcja,13771412,Zainstaluj,4.4,5948,16
Dream League Soccer 2021,First Touch Games Ltd.,Sport,3479066,Zainstaluj,4.4,5789,3
Harry Potter: Hogwarts Mystery,"Jam City, Inc.",Przygodowe,2304128,Zainstaluj,4.5,3587,7
Mini Football,Miniclip.com,Sport,345916,Zainstaluj,4.2,3999,3
AFK Arena,LilithGames,Fabularne,3172705,Zainstaluj,4.6,687,7
Guardian Tales,Kakao Games Corp.,Fabularne,397916,Zainstaluj,4.6,4933,7
Garena Free Fire - Rampage,GARENA INTERNATIONAL I PRIVATE LIMITED,Akcja,91107851,Zainstaluj,4.2,3191,12
RFS - Real Flight Simulator,RORTOS,Symulacyjne,110611,"Kup za 2,99 zł",4.2,8263,3
Idle Police Tycoon - Cops Game,Codigames,Symulacyjne,150378,Zainstaluj,4.4,5438,3
Battle Night: Cyberpunk-Idle RPG,FT Games,Fabularne,54757,Zainstaluj,4.4,3065,12
Harry Potter: Zagadki i magia,Zynga,Łamigłówki,594995,Zainstaluj,4.7,3555,3
Art of War: Legions,Fastone Games HK,Strategie,795789,Zainstaluj,4.4,2410,3
Archero,Habby,Akcja,1563896,Zainstaluj,4.3,2092,7
Ninja’s Creed: 3D Sniper Shooting Assassin Game,707 INTERACTIVE: Fun Epic Casual Games,Akcja,303851,Zainstaluj,4.4,3552,16
Atlantis Odyssey,VIZOR APPS LTD.,Symulacyjne,103230,Zainstaluj,4.5,688,3
MythWars & Puzzles: RPG Match 3,KARMA GAME,Fabularne,150242,Zainstaluj,4.3,1551,7
Stardew Valley,Chucklefish Limited,Fabularne,96123,"Kup za 21,99 zł",4.7,4858,12
Game Dev Tycoon,Greenheart Games,Symulacyjne,97458,"Kup za 23,99 zł",4.8,1666,3
Idle Arks: Build at Sea,BHome,Rekreacyjne,876981,Zainstaluj,4.3,4576,3
Monopoly - Board game classic about real-estate!,Marmalade Game Studio,Planszowe,71470,"Kup za 19,99 zł",4.3,7434,3
Hunting Clash: Gra myśliwska. Symulator polowania,Ten Square Games,Symulacyjne,159476,Zainstaluj,4.5,3950,16
Human: Fall Flat,505 Games Srl,Łamigłówki,18935,"Kup za 28,99 zł",4.2,1741,3
The Seven Deadly Sins: Grand Cross,Netmarble,Fabularne,505514,Zainstaluj,4.3,4699,12
Zooba: Free-for-all Zoo Combat Battle Royale Games,Wildlife Studios,Akcja,906233,Zainstaluj,4.1,1270,3
State of Survival: The Walking Dead Collaboration,KingsGroup Holdings,Strategie,1878278,Zainstaluj,4.4,1760,12
Solitaire Cruise: Classic Tripeaks Cards Games,BELKA GAMES,Karciane,117268,Zainstaluj,4.3,4027,3
Manor Matters,Playrix,Przygodowe,429432,Zainstaluj,4.4,1988,7
Rise of Empires: Ice and Fire,Long Tech Network Limited,Strategie,1082739,Zainstaluj,4.7,4002,12
Zombie Idle Defense,ONESOFT,Zręcznościowe,227555,Zainstaluj,4.4,2630,12
F1 Clash,Hutch Games,Wyścigi,581402,Zainstaluj,4.1,3812,3
Train Station 2: Symulator Strategii Kolejowej,Pixel Federation Games,Strategie,329297,Zainstaluj,4.5,2817,3
GRID™ Autosport,Feral Interactive,Wyścigi,12959,"Kup za 47,99 zł",4.4,5795,3
Top War: Battle Game,Topwar Studio,Strategie,459422,Zainstaluj,4.4,867,7
Idle Courier Tycoon - Manager Firmy 3D,Century Games Pte. Ltd.,Rekreacyjne,109308,Zainstaluj,4.4,1143,3
Bloons TD 6,ninja kiwi,Strategie,238854,"Kup za 23,99 zł",4.8,5681,3
Frontier Justice - Powrót na Dziki Zachód,ONEMT,Strategie,48393,Zainstaluj,4.2,2184,16
RAID: Shadow Legends,Plarium Global Ltd,Fabularne,1410343,Zainstaluj,4.2,6170,12
PUBG MOBILE 1.5: IGNITION,PROXIMA BETA,Akcja,38079863,Zainstaluj,4.3,5106,16
Genshin Impact,miHoYo Limited,Przygodowe,1771247,Zainstaluj,4.6,6179,12
Grand Hotel Mania - Hotel Games. Idle Hotel Tycoon,DeusCraft,Przygodowe,124396,Zainstaluj,4.3,3907,3
9 Months,Green Panda Games,Symulacyjne,268594,Zainstaluj,4.4,1789,3
Lily’s Garden,Tactile Games,Łamigłówki,1098902,Zainstaluj,4.6,6976,3
Kitten Match,Strategy Gamez,Łamigłówki,389219,Zainstaluj,4.7,2026,3
Family Island — przygodowa gra rolna,Melsoft Games Ltd,Rekreacyjne,656412,Zainstaluj,4.3,1719,3
Bullet Echo,ZeptoLab,Fabularne,273468,Zainstaluj,4.3,2185,12
Matchington Mansion,"Magic Tavern, Inc.",Łamigłówki,1987272,Zainstaluj,4.4,3366,3
Puzzles & Survival,37GAMES,Strategie,150177,Zainstaluj,4.3,1631,12
Lep's World,nerByte GmbH,Zręcznościowe,1098998,Zainstaluj,4.4,3738,12
Mekorama,Martin Magni,Łamigłówki,379884,Zainstaluj,4.3,361,3
Warcaby,Chess & Checkers Games,Planszowe,966399,Zainstaluj,4.4,3717,7
Pou,Zakeh Ltd,Rekreacyjne,11559199,Zainstaluj,4.3,523,3
Labirynty i więcej,Leo De Sol Games,Łamigłówki,616971,Zainstaluj,4.2,2307,3
Flow Free,Big Duck Games LLC,Łamigłówki,1465907,Zainstaluj,4.4,1516,3
Szachy,Chess Prince,Planszowe,1613302,Zainstaluj,4.3,1987,3
Air Hockey Wyzwanie,mobirix,Sport,162718,Zainstaluj,4.1,631,3
sand:box,SmellyMoo,Rekreacyjne,424240,Zainstaluj,4.4,626,3
Sky Fighters 3D,Doodle Mobile Ltd.,Akcja,363960,Zainstaluj,4.3,1266,7
Green Farm 3,Gameloft SE,Rekreacyjne,930358,Zainstaluj,4.1,3516,3
Pool Billiards Pro,TerranDroid,Sport,1479256,Zainstaluj,4.3,3798,12
Word Search,Quarzo Apps,Słowne,163865,Zainstaluj,4.2,2248,3
Little Big City 2,Gameloft SE,Rekreacyjne,444175,Zainstaluj,4.0,3648,3
Exploration Lite Craft,CanaryDroid,Akcja,335611,Zainstaluj,4.0,1608,7
Dr. Driving,SUD Inc.,Wyścigi,6107775,Zainstaluj,4.2,272,12
Candy Bomb,Cosmo Game,Rekreacyjne,10413,Zainstaluj,4.0,1823,3
Nonstop Balls,ThinkCube Inc.,Zręcznościowe,30829,Zainstaluj,3.5,1007,12
My Talking Tom Friends,Outfit7 Limited,Rekreacyjne,2052873,Zainstaluj,4.3,5887,3
Cooking Fever,Nordcurrent,Zręcznościowe,4608451,Zainstaluj,4.3,1398,3
Nitro Nation Drag & Drift Car Racing Game,Creative Mobile Games,Wyścigi,1526953,Zainstaluj,4.5,5882,3
Bullet Echo,ZeptoLab,Fabularne,273466,Zainstaluj,4.3,2185,12
Bowling Crew — 3D bowling game,Wargaming Group,Sport,247696,Zainstaluj,4.4,4191,3
Westland Survival – przetrwaj na Dzikim Zachodzie,Helio Games,Przygodowe,351237,Zainstaluj,4.4,3904,16
Top Eleven 2021: Menedżer Piłkarski,Nordeus,Sport,4837264,Zainstaluj,4.6,3721,3
Tacticool – strzelanka 5 na 5,Panzerdog,Akcja,490824,Zainstaluj,4.6,1590,16
Golden Farm,P.D. PLAYGENES INTERNATIONAL LIMITED,Rekreacyjne,108584,Zainstaluj,4.3,2287,3
Hero Wars – Hero Fantasy Multiplayer Battles,NEXTERS GLOBAL LTD,Fabularne,1402330,Zainstaluj,4.6,4545,12
Grand Hotel Mania - Hotel Games. Idle Hotel Tycoon,DeusCraft,Przygodowe,124396,Zainstaluj,4.3,3907,3
Dawn of Zombies: Przetrwanie Zombie Online,Royal Ark. We craft best action games every day,Akcja,244189,Zainstaluj,4.4,3033,12
Diggy's Adventure: Zagadki i Ucieczka z Labiryntu,Pixel Federation Games,Przygodowe,491327,Zainstaluj,4.4,3932,3
Cradle of the Egyptian Empire - Match 3 in a Row,Awem Games Limited,Łamigłówki,215910,Zainstaluj,4.4,3469,3
Harvest Land: Farm & City Building,MysteryTag,Rekreacyjne,391066,Zainstaluj,4.3,1334,3
Solitaire Cruise: Classic Tripeaks Cards Games,BELKA GAMES,Karciane,117268,Zainstaluj,4.3,4027,3
Contra Returns,PROXIMA BETA,Akcja,0,n/a,0.0,3385,12
MARVEL Future Revolution,Netmarble,Fabularne,0,n/a,0.0,3862,12
PUBG: NEW STATE,"KRAFTON, Inc.",Akcja,0,n/a,0.0,4126,16
LOST in Blue (Global),Volcano Force,Przygodowe,0,n/a,0.0,1916,16
Diablo Immortal,"Blizzard Entertainment, Inc.",Fabularne,0,n/a,0.0,3494,12
The Fifth Ark,YOUZU(SINGAPORE)PTE.LTD.,Fabularne,0,n/a,0.0,2481,12
Disney Wonderful Worlds,Ludia Inc.,Symulacyjne,0,n/a,0.0,3561,3
Idle Legions,YOUZU(SINGAPORE)PTE.LTD.,Strategie,0,n/a,0.0,1813,12
Mafia Crime War,ONEMT,Fabularne,0,n/a,0.0,6066,18
Ride Out Heroes,NetEase Games,Akcja,0,n/a,0.0,4293,12
Survival: Day Zero,ONEMT,Strategie,0,n/a,0.0,3681,12
Card Guardians: Deck Building Roguelike Card Game,Tapps Games - PT,Strategie,0,n/a,0.0,3036,3
NBA NOW 21,Com2uS,Sport,0,n/a,0.0,4196,3
Coin Dragon Master - AFK Slot RPG,Ratatat Studios Inc.,Fabularne,0,n/a,0.0,5921,12
NieR Re[in]carnation,"SQUARE ENIX Co.,Ltd.",Fabularne,0,n/a,0.0,3459,18
Tears of Themis,miHoYo Limited,Symulacyjne,0,n/a,0.0,4218,3
My Friend Pedro,DevolverDigital,Akcja,0,n/a,0.0,1164,7
Neko Dungeon: Puzzle RPG,Gilp,Fabularne,0,n/a,0.0,1643,7
Wheel of Fortune: Words of Fortune,Sony Pictures Television,Słowne,0,n/a,0.0,6573,3
Legendino: Dinosaur Battle,Super Planet,Przygodowe,0,n/a,0.0,3758,3
World Flipper,Kakao Games Corp.,Akcja,0,n/a,0.0,3065,3
Starlit Kart Racing,Rockhead Games,Wyścigi,0,n/a,0.0,1931,3
